Processor,Transistor count,Year,Designer,Process ( nm ),Area ( mm 2 ),Transistor density (tr./mm 2 ),Type
AD102 Ada Lovelace,"76,300,000,000",2022,Nvidia,4 nm,608.4 mm²,"125,411,000",GPU
AD103 Ada Lovelace,"45,900,000,000",2022,Nvidia,4 nm,378.6 mm²,"121,240,000",GPU
AD104 Ada Lovelace,"35,800,000,000",2022,Nvidia,4 nm,294.5 mm²,"121,560,000",GPU
Aldebaran CDNA2,"58,200,000,000",2021,AMD,6 nm,"1448–1474 mm²[257]
1480 mm²[258]
1490–1580 mm²[259]","39,500,000–40,200,000
39,200,000
36,800,000–39,100,000",GPU
Arcturus CDNA1,"25,600,000,000",2020,AMD,7 nm,750 mm2,"34,100,000",GPU
ARTC HD63484,"60,000",1984,Hitachi,?,?,?,GPU
Baffin/Polaris 11 GCN4,"3,000,000,000",2016,AMD,14 nm,123 mm2,"24,390,000",GPU
Barts RV940,"1,700,000,000",2010,AMD,40 nm,255 mm2,"6,667,000",GPU
Bonaire GCN2,"2,080,000,000",2013,AMD,28 nm,160 mm2,"13,000,000",GPU
Caicos RV910,"370,000,000",2011,AMD,40 nm,67 mm2,"5,522,000",GPU
Cape Verde GCN1,"1,500,000,000",2012,AMD,28 nm,123 mm2,"12,200,000",GPU
Cayman RV970,"2,640,000,000",2010,AMD,40 nm,389 mm2,"6,789,000",GPU
CBM Agnus,"21,000",1985,Commodore,"5,000 nm",?,?,GPU
Cedar RV810,"292,000,000",2010,AMD,40 nm,59 mm2,"4,949,000",GPU
Cypress RV870,"2,154,000,000",2009,ATI,40 nm,334 mm2,"6,449,000",GPU
Durango (Xbox One),"4,800,000,000",2013,AMD,28 nm,375 mm2,"12,800,000",GPU
Durango 2 (Xbox One S),"5,000,000,000",2016,AMD,16 nm,240 mm2,"20,830,000",GPU
Ellesmere/Polaris 10 GCN4,"5,700,000,000",2016,AMD,14 nm,232 mm2,"24,570,000",GPU
Fiji GCN3,"8,900,000,000",2015,AMD,28 nm,596 mm2,"14,930,000",GPU
Flipper,"51,000,000",2000,ArtX,180 nm,106 mm2,"481,000",GPU
G70,"303,000,000",2005,Nvidia,110 nm,333 mm2,"909,900",GPU
G71,"278,000,000",2006,Nvidia,90 nm,196 mm2,"1,418,000",GPU
G72,"112,000,000",2006,Nvidia,90 nm,81 mm2,"1,383,000",GPU
G73,"177,000,000",2006,Nvidia,90 nm,125 mm2,"1,416,000",GPU
G80,"681,000,000",2006,Nvidia,90 nm,480 mm2,"1,419,000",GPU
G84 Tesla,"289,000,000",2007,Nvidia,80 nm,169 mm2,"1,710,000",GPU
G86 Tesla,"210,000,000",2007,Nvidia,80 nm,127 mm2,"1,654,000",GPU
G92,"754,000,000",2007,Nvidia,65 nm,324 mm2,"2,327,000",GPU
G92b Tesla,"754,000,000",2008,Nvidia,55 nm,260 mm2,"2,900,000",GPU
G94 Tesla,"505,000,000",2008,Nvidia,65 nm,240 mm2,"2,104,000",GPU
G94b Tesla,"505,000,000",2008,Nvidia,55 nm,196 mm2,"2,577,000",GPU
G96 Tesla,"314,000,000",2008,Nvidia,65 nm,144 mm2,"2,181,000",GPU
G96b Tesla,"314,000,000",2008,Nvidia,55 nm,121 mm2,"2,595,000",GPU
G98 Tesla,"210,000,000",2008,Nvidia,65 nm,86 mm2,"2,442,000",GPU
GA100 Ampere,"54,200,000,000",2020,Nvidia,7 nm,826 mm2,"65,620,000",GPU
GA102 Ampere,"28,300,000,000",2020,Nvidia,8 nm,628 mm2,"45,035,000",GPU
GA103 Ampere,"22,000,000,000",2022,Nvidia,8 nm,496 mm²,"44,400,000",GPU
GA104 Ampere,"17,400,000,000",2020,Nvidia,8 nm,392 mm²,"44,390,000",GPU
GA106 Ampere,"12,000,000,000",2021,Nvidia,8 nm,276 mm²,"43,480,000",GPU
GA107 Ampere,"8,700,000,000",2021,Nvidia,8 nm,200 mm²,"43,500,000",GPU
GF100 Fermi,"3,200,000,000",2010,Nvidia,40 nm,526 mm2,"6,084,000",GPU
GF104 Fermi,"1,950,000,000",2011,Nvidia,40 nm,332 mm2,"5,873,000",GPU
GF106 Fermi,"1,170,000,000",2010,Nvidia,40 nm,238 mm2,"4,916,000",GPU
GF108 Fermi,"585,000,000",2011,Nvidia,40 nm,116 mm2,"5,043,000",GPU
GF110 Fermi,"3,000,000,000",2010,Nvidia,40 nm,520 mm2,"5,769,000",GPU
GF119 Fermi,"292,000,000",2011,Nvidia,40 nm,79 mm2,"3,696,000",GPU
GH100 Hopper,"80,000,000,000",2022,Nvidia,4 nm,814 mm²,"98,280,000",GPU
GK104 Kepler,"3,540,000,000",2012,Nvidia,28 nm,294 mm2,"12,040,000",GPU
GK106 Kepler,"2,540,000,000",2012,Nvidia,28 nm,221 mm2,"11,490,000",GPU
GK107 Kepler,"1,270,000,000",2012,Nvidia,28 nm,118 mm2,"10,760,000",GPU
GK110 Kepler,"7,080,000,000",2012,Nvidia,28 nm,561 mm2,"12,620,000",GPU
GK208 Kepler,"1,020,000,000",2013,Nvidia,28 nm,79 mm2,"12,910,000",GPU
GM107 Maxwell,"1,870,000,000",2014,Nvidia,28 nm,148 mm2,"12,640,000",GPU
GM200 Maxwell,"8,000,000,000",2015,Nvidia,28 nm,601 mm2,"13,310,000",GPU
GM204 Maxwell,"5,200,000,000",2014,Nvidia,28 nm,398 mm2,"13,070,000",GPU
