Processor,Transistor count,Year,Designer,Process ( nm ),Area ( mm 2 ),Transistor density (tr./mm 2 ),Type
AWS Graviton,?,2018,Amazon,?,?,?,CPU
AWS Graviton3,?,2022,Amazon,?,?,?,CPU
AWS Graviton4,100000000000,2023,Amazon,?,?,?,CPU
AWS Tranium,?,2020,Amazon,?,?,?,GPU
AWS Tranium2,?,2023,Amazon,?,?,?,GPU
AWS Inferentia,?,2018,Amazon,?,?,?,AI Accelerator
AWS Inferentia2,?,2023,Amazon,?,?,?,AI Accelerator
Azure Maia 100,"105,000,000,000",2023,Microsoft,?,?,?,GPU
Azure Cobalt 100,?,2023,Microsoft,?,?,?,CPU
TPUv1,"2,500,000,000",2016,Google,?,?,?,AI Accelerator
TPUv2,?,2017,Google,?,?,?,AI Accelerator
TPUv3,10000000000,2018,Google,?,?,?,AI Accelerator
TPUv4,22000000000,2021,Google,?,?,?,AI Accelerator
TPUv5,?,2023,Google,?,?,?,AI Accelerator
FSD Chip,6000000000,2017,Tesla,?,?,?,CPU
D1 Chip,50000000000,2021,Tesla,?,?,?,CPU
